num,url,coder1,coder2,final_label
51_Q48,https://pbs.twimg.com/media/DbKPpPUX0AEkAiW.jpg,women and children/close shots,women and children/close shots,women and children/close shots
52_Q48,https://pbs.twimg.com/media/DbKPpRrXkAAiWKU.jpg,crowd,crowd,crowd
53_Q48,https://pbs.twimg.com/media/DbKPpSCX4AUSFKR.jpg,men/close shots,men/close shots,men/close shots
54_Q48,https://pbs.twimg.com/media/DbTGKL0WsAAYkGM.jpg,crowd,crowd,crowd
55_Q48,https://pbs.twimg.com/media/DbTGKK4XcAAGxt3.jpg,women and children/close shots,women and children/close shots,women and children/close shots
56_Q48,https://pbs.twimg.com/media/DbTGKL1XkAUKYwC.jpg,crowd,crowd,crowd
57_Q48,https://pbs.twimg.com/media/DbTGKMeXUAAMmgZ.jpg,men/close shots,men/close shots,men/close shots
58_Q48,https://pbs.twimg.com/media/Dbii44UW4AELXRj.jpg,crowd,crowd,crowd
59_Q48,https://pbs.twimg.com/media/Dbii44rX0AE-fxO.jpg,crowd,crowd,crowd
60_Q48,https://pbs.twimg.com/media/Dbii45MWsAA7dnt.jpg,men/close shots,men/close shots,men/close shots
61_Q48,https://pbs.twimg.com/media/Dbii45GWsAEr2Fs.jpg,women and children/close shots,women and children/close shots,women and children/close shots
62_Q48,https://pbs.twimg.com/media/Dbo7dmQUQAAEHDf.jpg,crowd,crowd,crowd
63_Q48,https://pbs.twimg.com/media/Dbo7doXVwAA4aaK.jpg,crowd,crowd,crowd
64_Q48,https://pbs.twimg.com/media/Dbo7do6U0AEGLkK.jpg,men/close shots,men/close shots,men/close shots
65_Q48,https://pbs.twimg.com/media/Dbo7doEVAAUg61G.jpg,women and children/close shots,women and children/close shots,women and children/close shots
66_Q48,https://pbs.twimg.com/media/DbwEKxAWsAAa6Vx.jpg,crowd,crowd,crowd
67_Q48,https://pbs.twimg.com/media/DbwEKyUX0AA60gH.jpg,crowd,crowd,crowd
68_Q48,https://pbs.twimg.com/media/DbwEKy2W4AIAol2.jpg,men/close shots,men/close shots,men/close shots
69_Q48,https://pbs.twimg.com/media/DbwEKyYWsAA2Vg9.jpg,women and children/close shots,women and children/close shots,women and children/close shots
70_Q48,https://pbs.twimg.com/media/Db1Gz3KVAAARsR9.jpg,crowd,crowd,crowd
71_Q48,https://pbs.twimg.com/media/Db1Gz0vV4AALrZ8.jpg,crowd,crowd,crowd
72_Q48,https://pbs.twimg.com/media/Db1Gz3NU0AATlZ8.jpg,men/close shots,men/close shots,men/close shots
73_Q48,https://pbs.twimg.com/media/Db1GzyLUwAE_1mh.jpg,women and children/close shots,women and children/close shots,women and children/close shots
74_Q48,https://pbs.twimg.com/media/Db1TYXjWkAEbxlF.jpg,women and children/close shots,women and children/close shots,women and children/close shots
75_Q48,https://pbs.twimg.com/media/Db1TYXiXUAAmpN-.jpg,women and children/close shots,women and children/close shots,women and children/close shots
76_Q48,https://pbs.twimg.com/media/Db1TYnNW0AE52Wk.jpg,women and children/close shots,women and children/close shots,women and children/close shots
77_Q48,https://pbs.twimg.com/media/Db-9oqHW0AAkNTf.jpg,violations,OTHER,No Agreement
78_Q48,https://pbs.twimg.com/media/Db-93WHWAAEH4gs.jpg,women and children/close shots,women and children/close shots,women and children/close shots
79_Q48,https://pbs.twimg.com/media/Db-94QCXkAAV4yo.jpg,men/close shots,men/close shots,men/close shots
80_Q48,https://pbs.twimg.com/media/DcAI1JWVAAAUDk1.jpg,violations,violations,violations
81_Q48,https://pbs.twimg.com/media/DcAI30EUwAEaasK.jpg,crowd,violations,No Agreement
82_Q48,https://pbs.twimg.com/media/DcAJAS4V0AARewl.jpg,women and children/close shots,women and children/close shots,women and children/close shots
83_Q48,https://pbs.twimg.com/media/DcAJISiU8AA50Wm.jpg,women and children/close shots,OTHER,No Agreement
84_Q48,https://pbs.twimg.com/media/DcBOs7FX4AAj3-9.jpg,crowd,crowd,crowd
85_Q48,https://pbs.twimg.com/media/DcBOs7EWAAEZejD.jpg,crowd,crowd,crowd
86_Q48,https://pbs.twimg.com/media/DcBOs76WsAAyxop.jpg,men/close shots,men/close shots,men/close shots
87_Q48,https://pbs.twimg.com/media/DcBOs6vXcAAf0FQ.jpg,women and children/close shots,women and children/close shots,women and children/close shots
88_Q48,https://pbs.twimg.com/media/DcCC-OqX4AASnmF.jpg,violations,men/close shots,No Agreement
89_Q48,https://pbs.twimg.com/media/DcCC-XqWAAEyhMB.jpg,violations,violations,violations
90_Q48,https://pbs.twimg.com/media/DcCC-gAX4AEgoTs.jpg,women and children/close shots,women and children/close shots,women and children/close shots
91_Q48,https://pbs.twimg.com/media/DcCC-pWWAAEJIli.jpg,camps,camps,camps
92_Q48,https://pbs.twimg.com/media/DcCKl7HVAAENYZm.jpg,women and children/close shots,women and children/close shots,women and children/close shots
93_Q48,https://pbs.twimg.com/media/DcCKmgQVwAA3jz3.jpg,women and children/close shots,women and children/close shots,women and children/close shots
94_Q48,https://pbs.twimg.com/media/DcCKnohU0AEvYEc.jpg,camps,camps,camps
95_Q48,https://pbs.twimg.com/media/DcCKocCVwAMFNDX.jpg,women and children/close shots,women and children/close shots,women and children/close shots
96_Q48,https://pbs.twimg.com/media/DcCqA_OX4AE6IFr.jpg,crowd,crowd,crowd
97_Q48,https://pbs.twimg.com/media/DcCqBKzX0AAaWV9.jpg,violations,violations,violations
98_Q48,https://pbs.twimg.com/media/DcCqBelX4AA1Zng.jpg,women and children/close shots,OTHER,No Agreement
99_Q48,https://pbs.twimg.com/media/DcCqBnnW4AAAURi.jpg,violations,violations,violations
100_Q48,https://pbs.twimg.com/media/DcCvXm9XcAECtNr.jpg,women and children/close shots,OTHER,No Agreement
101_Q48,https://pbs.twimg.com/media/DcCvYZ8W0AAgPvE.jpg,women and children/close shots,OTHER,No Agreement
102_Q48,https://pbs.twimg.com/media/DcCvZdzWsAIKCsv.jpg,women and children/close shots,OTHER,No Agreement
103_Q48,https://pbs.twimg.com/media/DcCvjJIWAAAIhac.jpg,men/close shots,OTHER,No Agreement
104_Q48,https://pbs.twimg.com/media/DcDAgIEWsAIoUb1.jpg,violations,violations,violations
105_Q48,https://pbs.twimg.com/media/DcDAgG_X0AYurUE.jpg,police,violations,No Agreement
106_Q48,https://pbs.twimg.com/media/DcDVGYIU8AA-tvS.jpg,violations,violations,violations
107_Q48,https://pbs.twimg.com/media/DcDVGe1V4AEgjBW.jpg,women and children/close shots,women and children/close shots,women and children/close shots
108_Q48,https://pbs.twimg.com/media/DcDVGX9V0AAUprt.jpg,crowd,crowd,crowd
109_Q48,https://pbs.twimg.com/media/DcHRtVoU0AA0bwW.jpg,men/close shots,men/close shots,men/close shots
110_Q48,https://pbs.twimg.com/media/DcHRt6bV4AEC2eY.jpg,women and children/close shots,men/close shots,No Agreement
111_Q48,https://pbs.twimg.com/media/DcHRumpVwAE84_0.jpg,men/close shots,OTHER,No Agreement
112_Q48,https://pbs.twimg.com/media/DcHRvVnV0AEkiJy.jpg,men/close shots,men/close shots,men/close shots
113_Q48,https://pbs.twimg.com/media/DcMY6n0U8AEDiSj.jpg,women and children/close shots,women and children/close shots,women and children/close shots
114_Q48,https://pbs.twimg.com/media/DcMY6EsU0AEKo2F.jpg,women and children/close shots,women and children/close shots,women and children/close shots
115_Q48,https://pbs.twimg.com/media/DcMY6JwUwAAIE7Q.jpg,crowd,crowd,crowd
116_Q48,https://pbs.twimg.com/media/DcNde3EUQAAJpBB.jpg,crowd,crowd,crowd
117_Q48,https://pbs.twimg.com/media/DcNde5MUQAAmpcr.jpg,crowd,crowd,crowd
118_Q48,https://pbs.twimg.com/media/DcNde5JU0AARmYZ.jpg,men/close shots,men/close shots,men/close shots
119_Q48,https://pbs.twimg.com/media/DcNde2VVMAAHRgt.jpg,women and children/close shots,women and children/close shots,women and children/close shots
120_Q48,https://pbs.twimg.com/media/DcOdk81U8AAnnXp.jpg,women and children/close shots,women and children/close shots,women and children/close shots
121_Q48,https://pbs.twimg.com/media/DcOdlcQU0AAndVJ.jpg,women and children/close shots,women and children/close shots,women and children/close shots
122_Q48,https://pbs.twimg.com/media/DcOeuUpU8AAWcHI.jpg,women and children/close shots,women and children/close shots,women and children/close shots
123_Q48,https://pbs.twimg.com/media/DcOevjSVMAAO0TR.jpg,camps,camps,camps
124_Q48,https://pbs.twimg.com/media/Dc7fMnbVwAA6CSP.jpg,crowd,OTHER,No Agreement
125_Q48,https://pbs.twimg.com/media/Dc7fM4LU8AApICo.jpg,women and children/close shots,women and children/close shots,women and children/close shots
126_Q48,https://pbs.twimg.com/media/Dc7fNKVVAAADCU0.jpg,OTHER,men/close shots,No Agreement
127_Q48,https://pbs.twimg.com/media/DdIM22FW4AAGYH3.jpg,OTHER,OTHER,OTHER
128_Q48,https://pbs.twimg.com/media/DdIM22iXkAAo92P.jpg,OTHER,OTHER,OTHER
129_Q48,https://pbs.twimg.com/media/DdIM22VX0AAejPK.jpg,OTHER,OTHER,OTHER
130_Q48,https://pbs.twimg.com/media/DdJyttJWsAI34tj.jpg,OTHER,OTHER,OTHER
131_Q48,https://pbs.twimg.com/media/DdJyt3WX4AE06LE.jpg,OTHER,OTHER,OTHER
132_Q48,https://pbs.twimg.com/media/DdKxDywWsAARq6y.jpg,OTHER,OTHER,OTHER
133_Q48,https://pbs.twimg.com/media/DdKxD9vXUAEIxW3.jpg,OTHER,OTHER,OTHER
134_Q48,https://pbs.twimg.com/media/DWCdtfFVAAEg60V.jpg,men/close shots,men/close shots,men/close shots
135_Q48,https://pbs.twimg.com/media/DWFrQp7X4AABwzW.jpg,OTHER,OTHER,OTHER
136_Q48,https://pbs.twimg.com/media/DWGMrIHW0AAdfxR.jpg,men/close shots,men/close shots,men/close shots
137_Q48,https://pbs.twimg.com/media/DWGiuPZVAAAkZTy.jpg,men/close shots,men/close shots,men/close shots
138_Q48,https://pbs.twimg.com/media/DWHfik_X0AAV_r6.jpg,camps,women and children/close shots,No Agreement
139_Q48,https://pbs.twimg.com/media/DWJx_t8V4AA0W05.jpg,crowd,OTHER,No Agreement
140_Q48,https://pbs.twimg.com/media/DWR6PoyVMAMowBV.jpg,men/close shots,men/close shots,men/close shots
141_Q48,https://pbs.twimg.com/media/DWSm37dW0AAtsEZ.jpg,OTHER,OTHER,OTHER
142_Q48,https://pbs.twimg.com/media/DWVs2xTVQAA46u2.jpg,OTHER,OTHER,OTHER
143_Q48,https://pbs.twimg.com/media/DWWmGjcXcAARDsQ.jpg,OTHER,OTHER,OTHER
144_Q48,https://pbs.twimg.com/media/DWZECZ2W0AA4Ym1.jpg,women and children/close shots,women and children/close shots,women and children/close shots
145_Q48,https://pbs.twimg.com/media/DWenY6aWsAEE5Sv.jpg,women and children/close shots,crowd,No Agreement
146_Q48,https://pbs.twimg.com/media/DWerMabXUAA923s.jpg,OTHER,OTHER,OTHER
147_Q48,https://pbs.twimg.com/media/DWe8LdiW0AAiGmO.jpg,women and children/close shots,women and children/close shots,women and children/close shots
148_Q48,https://pbs.twimg.com/media/DWf0xFbUMAAt98C.jpg,OTHER,OTHER,OTHER
149_Q48,https://pbs.twimg.com/media/DWiQQZVWkAcLIOd.jpg,OTHER,OTHER,OTHER
150_Q48,https://pbs.twimg.com/media/DWkO0U7W0AIBPak.jpg,men/close shots,men/close shots,men/close shots
151_Q48,https://pbs.twimg.com/media/DWlTRANU0AE_Tvc.jpg,OTHER,OTHER,OTHER
152_Q48,https://pbs.twimg.com/media/DWnx4uQVACAmbza.jpg,crowd,crowd,crowd
153_Q48,https://pbs.twimg.com/media/DWo41efXcAAZOA9.jpg,OTHER,OTHER,OTHER
154_Q48,https://pbs.twimg.com/media/DWrhQIgXcAAz1yR.jpg,OTHER,OTHER,OTHER
155_Q48,https://pbs.twimg.com/media/DWs75sYV4AAoqES.jpg,crowd,crowd,crowd
156_Q48,https://pbs.twimg.com/media/DWs8Hl9U8AA7sUY.jpg,OTHER,OTHER,OTHER
157_Q48,https://pbs.twimg.com/media/DWs9v2AXkAAvaUn.jpg,OTHER,OTHER,OTHER
158_Q48,https://pbs.twimg.com/media/DWtcoyhW4AUEyhd.jpg,OTHER,OTHER,OTHER
159_Q48,https://pbs.twimg.com/media/DWvZI74VAAAebHS.jpg,men/close shots,men/close shots,men/close shots
160_Q48,https://pbs.twimg.com/media/DWwPHBAUMAAQI_e.jpg,OTHER,OTHER,OTHER
161_Q48,https://pbs.twimg.com/media/DWxRFmwVoAArXFk.jpg,OTHER,OTHER,OTHER
162_Q48,https://pbs.twimg.com/media/DWxc-ugVAAE1yFZ.jpg,OTHER,OTHER,OTHER
163_Q48,https://pbs.twimg.com/media/DWyNCpqX0AIHnNf.jpg,OTHER,OTHER,OTHER
164_Q48,https://pbs.twimg.com/media/DW0Tp53XkAE3SOb.jpg,OTHER,OTHER,OTHER
165_Q48,https://pbs.twimg.com/media/DW01c6CUMAAnXzP.jpg,crowd,crowd,crowd
166_Q48,https://pbs.twimg.com/media/DW628i7W0AISN2z.jpg,OTHER,OTHER,OTHER
167_Q48,https://pbs.twimg.com/media/DW79ynTVMAEATiy.jpg,OTHER,OTHER,OTHER
168_Q48,https://pbs.twimg.com/media/DW8F8hhVoAE0BHb.jpg,OTHER,OTHER,OTHER
169_Q48,https://pbs.twimg.com/media/DW9tlIjXcAI8C9q.jpg,OTHER,OTHER,OTHER
170_Q48,https://pbs.twimg.com/media/DW-XQ7iXUAEnXA1.jpg,OTHER,OTHER,OTHER
171_Q48,https://pbs.twimg.com/media/DW-b1KyV4AATnbR.jpg,crowd,crowd,crowd
172_Q48,https://pbs.twimg.com/media/DW_TqJwVwAA12ER.jpg,men/close shots,men/close shots,men/close shots
173_Q48,https://pbs.twimg.com/media/DXAZe1jVAAEBT3j.jpg,OTHER,OTHER,OTHER
174_Q48,https://pbs.twimg.com/media/DXAht3HXUAEYZLA.jpg,crowd,crowd,crowd
175_Q48,https://pbs.twimg.com/media/DXCrdAbVQAI5oem.jpg,OTHER,crowd,No Agreement
176_Q48,https://pbs.twimg.com/media/DXDPSp9UQAEw_3e.jpg,OTHER,OTHER,OTHER
177_Q48,https://pbs.twimg.com/media/DXHhWcsW0AADUTk.jpg,OTHER,OTHER,OTHER
178_Q48,https://pbs.twimg.com/media/DXKdMkxWAAIcQBD.jpg,OTHER,OTHER,OTHER
179_Q48,https://pbs.twimg.com/media/DXL_zIYW0AY-cfb.jpg,OTHER,OTHER,OTHER
180_Q48,https://pbs.twimg.com/media/DXNlv6wX0AESax6.jpg,men/close shots,men/close shots,men/close shots
181_Q48,https://pbs.twimg.com/media/DXOahNkWkAMGdRo.jpg,OTHER,OTHER,OTHER
182_Q48,https://pbs.twimg.com/media/DXSjwcfWsAI3hHG.jpg,men/close shots,men/close shots,men/close shots
183_Q48,https://pbs.twimg.com/media/DXS8eqDWkAAZtlK.jpg,OTHER,men/close shots,No Agreement
184_Q48,https://pbs.twimg.com/media/DXTG4yQV4AAutUr.jpg,OTHER,OTHER,OTHER
185_Q48,https://pbs.twimg.com/media/DXUCwAwW0AA4TQD.jpg,OTHER,OTHER,OTHER
186_Q48,https://pbs.twimg.com/media/DXULhFZX0AENqoD.jpg,OTHER,men/close shots,No Agreement
187_Q48,https://pbs.twimg.com/media/DXUh67VWsAEcu0l.jpg,OTHER,crowd,No Agreement
188_Q48,https://pbs.twimg.com/media/DXWRXS9WsAAxE9p.jpg,OTHER,crowd,No Agreement
189_Q48,https://pbs.twimg.com/media/DXW0wJEW0AAnoPz.jpg,OTHER,crowd,No Agreement
190_Q48,https://pbs.twimg.com/media/DXYy_9CXkAInkm6.jpg,OTHER,OTHER,OTHER
191_Q48,https://pbs.twimg.com/media/DXZHw5jU8AE5zF6.jpg,OTHER,men/close shots,No Agreement
192_Q48,https://pbs.twimg.com/media/DXZw9WPU0AAJNyI.jpg,OTHER,OTHER,OTHER
193_Q48,https://pbs.twimg.com/media/DXZ7ddDU8AAQFjZ.jpg,OTHER,crowd,No Agreement
194_Q48,https://pbs.twimg.com/media/DXbBuyMXcAAUxaV.jpg,OTHER,crowd,No Agreement
195_Q48,https://pbs.twimg.com/media/DXbxOlXXcAAAWLY.jpg,OTHER,crowd,No Agreement
196_Q48,https://pbs.twimg.com/media/DXb5GzmW4AAR4D3.jpg,OTHER,crowd,No Agreement
197_Q48,https://pbs.twimg.com/media/DXhU9MIUMAA9Cjh.jpg,OTHER,OTHER,OTHER
198_Q48,https://pbs.twimg.com/media/DXhswoJUQAAAYy6.jpg,OTHER,OTHER,OTHER
199_Q48,https://pbs.twimg.com/media/DXiY7ZxX4AAJJNb.jpg,men/close shots,men/close shots,men/close shots
200_Q48,https://pbs.twimg.com/media/DXjiCHAVQAAvi2j.jpg,men/close shots,men/close shots,men/close shots
201_Q48,https://pbs.twimg.com/media/DXjmPSiW4AA692-.jpg,OTHER,OTHER,OTHER
202_Q48,https://pbs.twimg.com/media/DXjpGiTWsAAPT_N.jpg,OTHER,OTHER,OTHER
203_Q48,https://pbs.twimg.com/media/DXnp9LJVAAAkUH3.jpg,OTHER,OTHER,OTHER
204_Q48,https://pbs.twimg.com/media/DXpCeqpVwAAHZ1f.jpg,camps,OTHER,No Agreement
205_Q48,https://pbs.twimg.com/media/DXsX81bXkAI5trX.jpg,OTHER,OTHER,OTHER
206_Q48,https://pbs.twimg.com/media/DXxvKbNXkAEuoTh.jpg,men/close shots,men/close shots,men/close shots
207_Q48,https://pbs.twimg.com/media/DXyWE07W0AIf7Vp.jpg,OTHER,OTHER,OTHER
208_Q48,https://pbs.twimg.com/media/DX2bT0GV4AAJRAt.jpg,OTHER,OTHER,OTHER
209_Q48,https://pbs.twimg.com/media/DX5Xxr1X4AAzkvY.jpg,police,police,police
210_Q48,https://pbs.twimg.com/media/DX8VxqOVMAAUiJ0.jpg,men/close shots,men/close shots,men/close shots
211_Q48,https://pbs.twimg.com/media/DX811-FV4AAb6AN.jpg,crowd,crowd,crowd
212_Q48,https://pbs.twimg.com/media/DX9MuBOW0AAdUzU.jpg,crowd,crowd,crowd
213_Q48,https://pbs.twimg.com/media/DX9SdNhXUAENPhs.jpg,men/close shots,men/close shots,men/close shots
214_Q48,https://pbs.twimg.com/media/DX-MzEMXkAINPVr.jpg,men/close shots,men/close shots,men/close shots
215_Q48,https://pbs.twimg.com/media/DX-Qdq9U8AELE-V.jpg,women and children/close shots,women and children/close shots,women and children/close shots
216_Q48,https://pbs.twimg.com/media/DYCRuZyVwAEkL_R.jpg,OTHER,OTHER,OTHER
217_Q48,https://pbs.twimg.com/media/DYDNRcsUMAApMMw.jpg,OTHER,OTHER,OTHER
218_Q48,https://pbs.twimg.com/media/DYFj7KNW4AAuDB9.jpg,OTHER,OTHER,OTHER
219_Q48,https://pbs.twimg.com/media/DYFyeQdXkAAl6El.jpg,OTHER,OTHER,OTHER
220_Q48,https://pbs.twimg.com/media/DYHD1qOUMAECAu1.jpg,OTHER,OTHER,OTHER
221_Q48,https://pbs.twimg.com/media/DYIAzdqVQAAizQQ.jpg,OTHER,OTHER,OTHER
222_Q48,https://pbs.twimg.com/media/DYNgxA8WAAETfIp.jpg,men/close shots,crowd,No Agreement
223_Q48,https://pbs.twimg.com/media/DYP8gSeV4AAmkpI.jpg,OTHER,OTHER,OTHER
224_Q48,https://pbs.twimg.com/media/DYQAorvX0AE3DYi.jpg,women and children/close shots,crowd,No Agreement
225_Q48,https://pbs.twimg.com/media/DYQLWKmX4AEagqt.jpg,OTHER,OTHER,OTHER
226_Q48,https://pbs.twimg.com/media/DYQQXzDVMAAFq1V.jpg,OTHER,OTHER,OTHER
227_Q48,https://pbs.twimg.com/media/DYQ1RdvWkAAcFoN.jpg,OTHER,OTHER,OTHER
228_Q48,https://pbs.twimg.com/media/DYQ_G7AWsAU0GjZ.jpg,OTHER,OTHER,OTHER
229_Q48,https://pbs.twimg.com/media/DYRQRlSU0AA23_1.jpg,OTHER,OTHER,OTHER
230_Q48,https://pbs.twimg.com/media/DYREw1rWkAAT4Ax.jpg,OTHER,OTHER,OTHER
231_Q48,https://pbs.twimg.com/media/DYR3tuaXUAA8rxt.jpg,crowd,crowd,crowd
232_Q48,https://pbs.twimg.com/media/DYSiQBqW0AA4mfu.jpg,men/close shots,men/close shots,men/close shots
233_Q48,https://pbs.twimg.com/media/DYWzgRZWkAAqhMs.jpg,OTHER,OTHER,OTHER
234_Q48,https://pbs.twimg.com/media/DYW1z-YVMAABmYs.jpg,OTHER,OTHER,OTHER
235_Q48,https://pbs.twimg.com/media/DYXAzo5WkAYCJc7.jpg,OTHER,men/close shots,No Agreement
236_Q48,https://pbs.twimg.com/media/DYXNzyeX4AIyTi0.jpg,republican politicians,republican politicians,republican politicians
237_Q48,https://pbs.twimg.com/media/DYY2LK-V4AEmu8f.jpg,OTHER,men/close shots,No Agreement
238_Q48,https://pbs.twimg.com/media/DYZwF1ZXUAAtSig.jpg,women and children/close shots,women and children/close shots,women and children/close shots
239_Q48,https://pbs.twimg.com/media/DYajiZVUMAEb_5K.jpg,police,police,police
240_Q48,https://pbs.twimg.com/media/DYaqiRmX4AAVuJH.jpg,OTHER,OTHER,OTHER
241_Q48,https://pbs.twimg.com/media/DYez87LV4AE2W9K.jpg,OTHER,OTHER,OTHER
242_Q48,https://pbs.twimg.com/media/DYe4TfhUQAAJOjl.jpg,OTHER,OTHER,OTHER
243_Q48,https://pbs.twimg.com/media/DYf7C7WWkAAljWt.jpg,OTHER,OTHER,OTHER
244_Q48,https://pbs.twimg.com/media/DYgV4UIWkAA7OkD.jpg,OTHER,OTHER,OTHER
245_Q48,https://pbs.twimg.com/media/DYhUeJKU0AAp1zx.jpg,OTHER,police,No Agreement
246_Q48,https://pbs.twimg.com/media/DYi0ln0W0AAQEXt.jpg,OTHER,OTHER,OTHER
247_Q48,https://pbs.twimg.com/media/DYgghgYW0AALeG1.jpg,police,police,police
248_Q48,https://pbs.twimg.com/media/DYjwEwLWAAA9L89.jpg,OTHER,OTHER,OTHER
249_Q48,https://pbs.twimg.com/media/DYlgRNQU0AIwmam.jpg,OTHER,OTHER,OTHER
